"CountryNum","StateNum","Route","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID","year","aridlands"
840,2,56,"CHILDERSBURG",0,33.4572917,-86.2574629,13,28,1,1,2011,0.0383662032546611
840,2,57,"YOUNGTOWN",1,34.4236313,-87.3907904,13,28,1,1,2011,0.00907825794581065
840,2,58,"MENTONE",1,34.5810567,-85.565583,13,28,1,1,2011,0.0143128289189889
840,2,59,"CARROLLTON",1,33.2811827,-88.0092154,4,27,1,1,2011,0.0471957700504465
840,2,60,"HOLT",1,33.2638251,-87.4241383,4,27,1,1,2011,0.114556314911478
840,2,61,"ODENVILLE",1,33.718519,-86.4457647,13,28,1,1,2011,0.0272848637218503
840,2,62,"BORDEN SPRNG",0,33.9282957,-85.4680639,11,28,1,1,2011,0.0697972228099284
840,2,63,"ROCK CHAPEL",1,32.4128107,-87.5381089,4,27,1,1,2011,0.0334932217201274
840,2,64,"NIXBURG",0,32.8224147,-86.1118009,11,29,1,1,2011,0.0449970396684429
840,2,65,"CALEBEE",1,32.4341515,-85.8711729,4,27,1,1,2011,0.016649366399112
840,2,66,"APPLETON",1,31.2283931,-87.0654001,4,27,1,1,2011,0.149524463182665
840,2,67,"MT. GILEAD",1,31.4086552,-86.270046,4,27,1,1,2011,0.0456406852137629
840,2,68,"MADRID",1,31.0322875,-85.4115544,4,27,1,1,2011,0.0179266791759982
840,2,69,"GEORGETOWN",1,30.9422777,-88.3523559,4,27,1,1,2011,0.0478657922420932
840,2,70,"BON SECOUR",1,30.3038647,-87.7299991,3,27,1,1,2011,0.0158015870289581
840,2,71,"WHEELER DAM",1,34.7961251,-87.3837235,14,24,1,1,2011,0.00117854322337647
840,2,72,"ELKMONT",1,34.9292307,-86.9887629,14,24,1,1,2011,0.00122362590118394
840,2,73,"WOODVILLE",1,34.9895137,-86.0671689,21,28,1,1,2011,0.00990590971561476
840,2,74,"Perdido",1,30.978291,-87.631069,3,27,1,1,2011,NA
840,2,102,"COURTLAND",1,34.6030578,-87.2543912,14,24,1,1,2011,0.0263855374025871
840,2,105,"BROOKSVILLE",1,34.2126918,-86.4734413,13,28,1,1,2011,0.0387469258942613
840,2,106,"VALHERMOSO SPG 2",0,34.5012877,-86.6855493,14,24,1,1,2011,0.00475391498881432
840,2,109,"LAKEVIEW",1,34.3086241,-85.9323092,13,28,1,1,2011,0.00622572954514695
840,2,111,"CHOCCOLOCCO",1,33.628703,-85.748317,13,28,1,1,2011,0.0169320500310476
840,2,137,"LATHAM 2",1,31.0706664,-87.8350582,4,27,1,1,2011,0.0707891526696068
840,2,140,"DAUPHIN IS 2",0,30.248466,-88.1123348,3,27,1,1,2011,0.0217728797316723
840,2,141,"ALABAMA PT 2",0,30.2816323,-87.5183917,3,27,1,1,2011,0.0540412914561827
840,2,142,"ELBERTA",1,30.370222,-87.6024375,3,27,1,1,2011,0.0591074770958526
840,2,151,"Liberty City 2",1,32.580056,-85.692643,11,29,1,1,2011,NA
840,2,156,"KYMULGA",1,33.2905307,-86.3312989,13,28,1,1,2011,0.0386903581485741
840,2,162,"Borden Springs 2",1,33.9413322,-85.450491,11,28,1,1,2011,0.0174527274186705
840,2,164,"NIXBURG 2",1,32.822371,-86.1117753,11,29,1,1,2011,0.044414634594535
840,2,201,"VINA",1,34.2884067,-88.0675579,4,27,1,1,2011,0.0894406089573376
840,2,203,"CARTER GROVE",1,34.8223669,-86.6604516,14,24,1,1,2011,0.00199749647108957
840,2,204,"STEVENSON",1,34.7575557,-85.8594579,13,28,1,1,2011,0.0180328519282654
840,2,205,"VERNON",1,33.6853138,-88.1671198,4,27,1,1,2011,0.0510225241683042
840,2,206,"JASPER",0,33.817334,-87.137715,13,28,1,1,2011,0.0202678612241167
840,2,207,"ONEONTA",1,33.8564625,-86.3813006,13,28,1,1,2011,0.0322728771252296
840,2,208,"TALLADEGA",1,33.3180161,-86.1573541,13,28,1,1,2011,0.0235133127419166
840,2,209,"WEDOWEE",1,33.1844368,-85.464604,11,29,1,1,2011,0.0375055784766433
840,2,210,"GASTONBURG",1,32.1930088,-87.3792753,4,27,1,1,2011,0.0295071786365085
840,2,211,"AUTAUGAVILLE",1,32.4860839,-86.5697685,4,27,1,1,2011,0.0443687036255052
840,2,212,"SEALE",1,32.5033347,-85.2532189,4,27,1,1,2011,0.0282685192723457
840,2,213,"CITRONELLE",1,31.1365731,-88.2207774,4,27,1,1,2011,0.0563111114772194
840,2,214,"CLAIBORNE",1,31.7459607,-87.6361759,4,27,1,1,2011,0.104078174963012
840,2,215,"HELICON",1,31.9052647,-86.1853409,4,27,1,1,2011,0.0916433715073364
840,2,216,"EUFAULA",1,31.7296264,-85.2558091,4,27,1,1,2011,0.0650921035217114
840,2,217,"ST. ELMO",1,30.4866365,-88.3854517,3,27,1,1,2011,0.0125655280395596
840,2,218,"BAY MINETTE",1,30.803493,-87.6374375,3,27,1,1,2011,0.1101401010565
840,2,240,"DAUPHIN IS 3",0,30.25085,-88.16328,3,27,1,1,2011,NA
840,2,306,"DRUMMOND",1,33.8163386,-87.1416542,13,28,1,1,2011,0.0245205038288127
840,2,750,"TRIANA",0,34.4761164,-86.4676524,14,24,2,2,2011,0.000812166928117664
840,2,751,"RIVERSIDE",0,33.5919601,-86.2041575,13,28,2,2,2011,0.0282826063069992
840,2,752,"SPROTT-CAHABA RIV",0,32.655013,-87.247487,4,27,2,2,2011,0.0244133476856835
840,2,753,"GAINESTOWN FERRY",0,31.3769106,-87.723299,4,27,2,2,2011,0.0520765825635167
840,2,754,"Chacaloochee Bay",0,30.688444,-87.969378,4,27,2,2,2011,0.00119697454365346
840,2,900,"ELKMONT",0,34.95,-87.15,14,24,1,2,2011,0.00122362590118394
840,2,901,"TRACE CHEROKEE",0,34.667434,-88.088255,4,27,1,2,2011,NA
840,6,1,"MT TRUMBULL",0,36.4118157,-113.3253169,87,16,1,1,2011,0.99383078405529
840,6,2,"HOUSE ROCK",1,36.7313947,-112.0460509,87,16,1,1,2011,0.791231732776618
840,6,3,"THE GAP",0,36.1623537,-111.3865819,87,16,1,1,2011,0.972702662906204
840,6,4,"BLACK MESA",1,36.5612867,-110.5019459,84,16,1,1,2011,0.918301497160558
840,6,5,"ROUND ROCK",0,36.5089267,-109.4726859,84,16,1,1,2011,0.860530464719699
840,6,6,"SQUAW PEAK",0,35.8986777,-114.2909089,83,33,1,1,2011,0.997333501037671
840,6,7,"YAMPAI",0,35.5156177,-113.2016679,87,16,1,1,2011,0.934328735923067
840,6,8,"ROSE WELLS",0,35.7549067,-112.8721919,87,16,1,1,2011,0.965058021519002
840,6,9,"FLAGSTAFF",1,35.379241,-111.589527,84,34,1,1,2011,0.259069360284672
840,6,10,"ORAIBI",1,35.8687197,-110.6230399,87,16,1,1,2011,0.946027323868203
840,6,11,"SAWMILL",1,35.678979,-109.2046208,84,16,1,1,2011,0.159615867436606
840,6,12,"OATMAN",1,34.9859877,-114.4831159,83,33,1,1,2011,0.941622283581917
840,6,13,"WIKIEUP",1,34.7270747,-113.9188229,82,33,1,1,2011,0.999042862172153
840,6,14,"PRESCOTT",1,34.643638,-112.43804,84,34,1,1,2011,0.140322001089565
840,6,15,"MORMON LAKE",0,34.8492047,-111.4342499,84,34,1,1,2011,0.392203927792105
840,6,16,"ZENIFF",0,34.666085,-110.324299,87,16,1,1,2011,0.720357073549389
840,6,17,"HUNT",1,34.4781336,-109.6046705,87,16,1,1,2011,0.971407862198346
840,6,18,"QUARTZSITE",1,33.651725,-114.217139,82,33,1,1,2011,0.980975200406333
840,6,19,"VICKSBURG",0,33.8839297,-113.8530119,82,33,1,1,2011,0.856495031035925
840,6,20,"NEW RIVER",0,33.7034749,-112.2723363,82,33,1,1,2011,0.84274739657429
840,6,21,"FLORENCE",0,33.0219797,-111.2169189,82,33,1,1,2011,0.786136798201966
840,6,22,"AZTEC PEAK",0,33.811655,-110.904189,81,34,1,1,2011,0.542892474384643
840,6,23,"BLUE",0,33.610135,-109.10624,84,34,1,1,2011,0.11557106845065
840,6,24,"LAGUNA",1,32.8332815,-114.3988546,82,33,1,1,2011,0.388057175847584
840,6,25,"DATELAND",1,32.9285617,-113.5413359,82,33,1,1,2011,0.674541200935794
840,6,26,"AJO",0,32.3325717,-112.7874759,82,33,1,1,2011,0.828682154647419
840,6,27,"COOLIDGE",0,33.0156287,-111.3839189,82,33,1,1,2011,0.308402976531196
840,6,28,"POMERENE",1,32.0343407,-110.3031159,81,34,1,1,2011,0.865306202654772
840,6,29,"SAN SIMON",1,32.4996877,-109.3368449,56,34,1,1,2011,0.984885616618459
840,6,30,"LUKEVILLE",0,32.0266567,-112.9573589,82,33,1,1,2011,0.997576136674616
840,6,31,"PEÑA BLANCA",1,31.387449,-111.064564,81,34,1,1,2011,0.903671194259354
840,6,32,"PATAGONIA",1,31.5175977,-110.7949529,81,34,1,1,2011,0.668811568191552
840,6,33,"SUNIZONA",0,31.8181957,-109.6948089,81,34,1,1,2011,0.769285954976793
840,6,51,"TOROWEAP",1,36.2863797,-113.0649869,87,16,1,1,2011,0.96293426909113
840,6,52,"DRY PARK",1,36.3131479,-112.0319722,84,16,1,1,2011,0.0557558124565514
840,6,53,"PAGE",1,36.9132282,-111.4526999,87,16,1,1,2011,0.934552666372852
840,6,54,"COW SPRINGS",1,36.3915637,-110.8794319,87,16,1,1,2011,0.955135987655021
840,6,55,"MANY FARMS",1,36.3599237,-109.6437909,87,16,1,1,2011,0.993130722140961
840,6,56,"RIVIERA",1,35.113694,-114.57123,82,33,1,1,2011,0.92733241698947
840,6,57,"ANTARES",1,35.4272901,-113.8087941,87,33,1,1,2011,0.980321918889064
840,6,58,"WILLIAMS",1,35.0556327,-112.2188339,84,34,1,1,2011,0.166022650294339
840,6,59,"MAINE",1,35.1634107,-111.9475859,84,34,1,1,2011,0.414572864321608
840,6,60,"CASTLE BUTTE",1,35.2779817,-110.3798989,87,16,1,1,2011,0.958989016971867
840,6,61,"GREASEWOOD",0,35.5302347,-109.8516089,87,16,1,1,2011,0.960785563986482
840,6,63,"ALAMO RES.",1,34.2318174,-113.5975476,82,33,1,1,2011,0.985506604024466
840,6,64,"SKULL VALLEY",0,34.7733727,-112.6192267,87,34,1,1,2011,0.884651360544218
